id,tokens,slots,intent
train-00087,alors en fin de compte je désirerais en fin de compte réserver euh pour le troisième week-end de novembre une nuit à Clermont-Ferrand pour quatre chambres doubles donc il y aurait un total de huit des adultes et je voudrais savoir s' il y a une possibilité d' amener un gros chien et euh donc pour le total euh maximum deux cents euros,O O O O O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O rang-temps-B rang-temps-I rang-temps-I temps-unite-B temps-mois-B temps-mois-I sejour-nbNuit-B sejour-nbNuit-I localisation-ville-B localisation-ville-I nombre-chambre-B nombre-chambre-I chambre-type-B chambre-type-I connectProp-B O O O O O O sejour-nbAdulte-B sejour-nbAdulte-I sejour-nbAdulte-I connectProp-B O O O O O O O O O O O hotel-services-B hotel-services-I hotel-services-I connectProp-B O O O O O O comparatif-paiement-B paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B,
train-00088,oui,reponse-B,
train-00089,exactement,reponse-B,
train-00090,oui,reponse-B,
train-00091,d'accord est-ce que il y a l' un des hôtels qui prend les chiens,reponse-B O O O O O nombre-hotel-B nombre-hotel-I lienRef-coRef-B objetBD-B O O hotel-services-B hotel-services-I,
train-00092,merci,O,
train-00093,ben voilà donc celui-là alors et par contre euh pour le prix ça me revient à combien,O O O lienRef-elsEns-B O connectProp-B O O O O lienRef-coRef-B objet-B O O O O O,
train-00094,et ben je vais quand même prendre celle euh avec le chien donc la plus chère,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I lienRef-elsEns-B O hotel-services-B hotel-services-I hotel-services-I connectProp-B lienRef-elsEns-B comparatif-paiement-B comparatif-paiement-I,
train-00095,oui,reponse-B,
train-00096,exactement,reponse-B,
train-00097,très bien,O O,
train-00098,je merci,O O,
train-00099,ben voilà très bien,O O O O,
train-00100,sans problème,O O,
train-00101,non c' est bon c' est tout,reponse-B O O O O O O,
train-00102,au revoir,O O,
train-00103,non,reponse-B,
train-00104,réservation,command-tache-B,
train-00105,Marseille,localisation-ville-B,
train-00106,non à Marseille,reponse-B localisation-ville-B localisation-ville-I,
train-00107,le premier week-end d' août,temps-axeTps-B temps-axeTps-I temps-unite-B temps-mois-B temps-mois-I,
train-00108,près d' une salle de cinéma,localisation-distanceRelative-B localisation-distanceRelative-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I,
train-00109,oui,reponse-B,
train-00110,obtenir des informations supplémentaires,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00111,proche d' une salle de cinéma,localisation-distanceRelative-B localisation-distanceRelative-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I,
train-00112,oui,reponse-B,
train-00113,une chambre pour une personne avec un enfant,nombre-chambre-B nombre-chambre-I sejour-nbPersonne-B sejour-nbPersonne-I sejour-nbPersonne-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I,
train-00114,Ibis Prado,hotel-marque-B nom-hotel-B,
train-00115,huhum,O,
train-00116,oui,reponse-B,
train-00117,non,reponse-B,
train-00118,au revoir,O O,
train-00119,non non,reponse-B reponse-I,
train-00120,réserver une chambre,command-tache-B nombre-chambre-B nombre-chambre-I,
train-00121,à Nevers,localisation-ville-B localisation-ville-I,
train-00122,oui,reponse-B,
train-00123,pour les quatre derniers jours de janvier,nombre-temps-B nombre-temps-I nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I,
train-00124,oui,reponse-B,
train-00125,oui,reponse-B,
train-00126,oui,reponse-B,
train-00127,une,nombre-B,
train-00128,un,nombre-B,
train-00129,Ibis,hotel-marque-B,
train-00130,trois,nombre-B,
train-00131,oui,reponse-B,
train-00132,non,reponse-B,
train-00133,oui,reponse-B,
train-00134,une disponibilité pour euh une réservation pour un week-end de novembre,O O O O command-tache-B command-tache-I nombre-temps-B nombre-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-00135,Clermont-Ferrand,localisation-ville-B,
train-00136,le troisième week-end de novembre,rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-00137,tout à fait,reponse-B reponse-I reponse-I,
train-00138,quatre chambres doubles nous sommes au total huit adultes,nombre-chambre-B chambre-type-B chambre-type-I O O O O sejour-nbAdulte-B sejour-nbAdulte-I,
train-00139,je souhaiterais avoir un peu plus de détails sur ces hôtels,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O lienRef-coRef-B objetBD-B,
train-00140,si euh éventuellement l' hôtel accepte des animaux,O O O lienRef-coRef-B objetBD-B O hotel-services-B hotel-services-I,
train-00141,euh oui en fonction du prix,O reponse-B O O lienRef-coRef-B objet-B,
train-00142,euh au moins cher c' est-à-dire à l' hôtel Elisabeth parce que j' ai un budget euh j' aurais s euh oui pas plus de de deux cents euros donc euh avec quatre chambres ça me conviendrait bien,O comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I connectProp-B connectProp-I nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I connectProp-B connectProp-I objet-B objet-I objet-I objet-I O O O O O O comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-monnaie-B connectProp-B O nombre-chambre-B nombre-chambre-I nombre-chambre-I reponse-B reponse-I reponse-I reponse-I,
train-00143,tout à fait,reponse-B reponse-I reponse-I,
train-00144,oui,reponse-B,
train-00145,ok,reponse-B,
train-00146,ok,reponse-B,
train-00147,entendu,reponse-B,
train-00148,sans problème,reponse-B reponse-I,
train-00149,non ça euh ça ira,reponse-B O O O O,
train-00150,merci au revoir,O O O,
train-00151,oui,reponse-B,
train-00152,euh j' aimerais réserver un hôtel pour le premier août à l' ouest de Paris,O command-tache-B command-tache-I command-tache-I objetBD-B objetBD-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-cardinal-I localisation-ville-B,
train-00153,à l' ouest de Paris le premier août,localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-cardinal-I localisation-ville-B temps-date-B temps-date-I temps-date-I,
train-00154,j' aimerais avoir des détails je voudrais euh avoir des animations le soir,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I O O O O localisation-lieuRelatif-B localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I,
train-00155,euh j' aimerais donc réserver pour un couple aux alentours de cinquante euros,O command-tache-B command-tache-I command-tache-I command-tache-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-monnaie-B,
train-00156,à l' hôtel Passy pouvez-vous répéter le tarif,nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I command-dial-B command-dial-I lienRef-coRef-B objet-B,
train-00157,euh je recherche euh une chambre à cinquante euros avec les animations du soir,O O O O nombre-chambre-B nombre-chambre-I O paiement-montant-entier-B paiement-monnaie-B localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I,
train-00158,y a-t-il des animations le soir,O O localisation-lieuRelatif-B localisation-lieuRelatif-I temps-plageTps-B temps-plageTps-I,
train-00159,euh avez-vous d' autres hôtels à cinquante euros à l' ouest de Paris,O O lienRef-coDom-B lienRef-coDom-I objetBD-B O paiement-montant-entier-B paiement-monnaie-B localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-cardinal-I localisation-ville-B,
train-00160,pour le premier août,temps-date-B temps-date-I temps-date-I temps-date-I,
train-00161,pouvez-vous me récapituler les hôtels disponibles pour un couple le premier août à l' ouest de Paris à cinquante euros,command-dial-B command-dial-I command-dial-I lienRef-coRef-B hotel-etat-complet-B hotel-etat-complet-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I temps-date-B temps-date-I temps-date-I localisation-cardinal-B localisation-cardinal-I localisation-cardinal-I localisation-cardinal-I localisation-ville-B O paiement-montant-entier-B paiement-monnaie-B,
train-00162,non pouvez-vous me pouvez-vous me donner euh les informations concernant l' hôtel Mercure,reponse-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I hotel-marque-B hotel-marque-I hotel-marque-I hotel-marque-I,
train-00163,oui,reponse-B,
train-00164,l l' hôtel hauts de Passy alors,nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I nom-hotel-I O,
train-00165,oui,reponse-B,
train-00166,non,reponse-B,
train-00167,au revoir,O O,
train-00168,non,reponse-B,
train-00169,non,reponse-B,
train-00170,euh une euh hum un hôtel un place Gambetta pour les trois premiers jours d' octobre,O O O O objetBD-B objetBD-I objetBD-I localisation-rue-B localisation-rue-I nombre-temps-B nombre-temps-I nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I,
train-00171,euh non euh à Paris place Gambetta,O reponse-B O localisation-ville-B localisation-ville-I localisation-rue-B localisation-rue-I,
train-00172,oui,reponse-B,
train-00173,des détails je veux avoir le prix,command-tache-B command-tache-I O O O lienRef-coRef-B objet-B,
train-00174,une chambre simple,nombre-chambre-B chambre-type-B chambre-type-I,
train-00175,hum oui réserver,O reponse-B command-tache-B,
train-00176,alors redonnez-moi les hôtels s' il vous plaît,command-dial-B command-dial-I lienRef-coRef-B objet-B O O O O,
train-00177,hôtel de la mairie,nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I,
train-00178,oui,reponse-B,
train-00179,euh lilas,O O,
train-00180,lilas,O,
train-00181,oui,reponse-B,
train-00182,non,reponse-B,
train-00183,non,reponse-B,
train-00184,je voudrais réserver deux chambres pour une personne dans un Formule Un à Marseille,command-tache-B command-tache-I command-tache-I nombre-chambre-B chambre-type-B chambre-type-I chambre-type-I chambre-type-I hotel-marque-B hotel-marque-I hotel-marque-I hotel-marque-I localisation-ville-B localisation-ville-I,
train-00185,la troisième semaine de septembre,rang-temps-B rang-temps-I temps-unite-B temps-mois-B temps-mois-I,
train-00186,je voudrais savoir si dans le Formule Un il y a un parking,O O O O hotel-marque-B hotel-marque-I hotel-marque-I hotel-marque-I O O O objet-B objet-I,
train-00187,et je voudrais savoir aussi à combien est la chambre,O O O O O objet-B objet-I O lienRef-coRef-B objet-B,
train-00188,une chambre pour une personne deux chambres pour une personne,nombre-chambre-B chambre-type-B chambre-type-I chambre-type-I chambre-type-I nombre-chambre-B chambre-type-B chambre-type-I chambre-type-I chambre-type-I,
train-00189,euh oui,O reponse-B,
train-00190,non,reponse-B,
train-00191,s' il y a pas d' autres Formule Un non,connectProp-B O O O lienRef-coDom-B lienRef-coDom-I lienRef-coDom-I hotel-marque-B hotel-marque-I reponse-B,
train-00192,non,reponse-B,
train-00193,non,reponse-B,
train-00194,oui,reponse-B,
train-00195,j' aimerais faire une réservation pour le premier le deux et le trois septembre entre Lyon et Montluçon,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I,
train-00196,nous sommes deux couples avec chacun un enfant et des chats,O O sejour-nbCouple-B sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I sejour-nbEnfant-I hotel-services-B hotel-services-I hotel-services-I,
train-00197,je accepte de réserver,command-tache-B command-tache-I command-tache-I command-tache-I,
train-00198,non y a-t-il un autre hôtel,reponse-B O O nombre-hotel-B lienRef-coDom-B objetBD-B,
train-00199,et total,O O,
train-00200,obtenir des informations est-ce qu' ils acceptent les animaux et les le tarif des chambres,command-tache-B command-tache-I command-tache-I O O lienRef-coRef-B O hotel-services-B hotel-services-I connectProp-B lienRef-coRef-B lienRef-coRef-I objet-B lienRef-coRef-B objet-B,
train-00201,non y a-t-il d' autres hôtels,reponse-B O O lienRef-coDom-B lienRef-coDom-I objetBD-B,
train-00202,d' autres informations est-ce qu' ils acceptent les chats et les chambres à quel tarif sont- elles,command-tache-B command-tache-I command-tache-I O O lienRef-coRef-B O hotel-services-B hotel-services-I connectProp-B lienRef-coRef-B objet-B objet-B objet-I objet-I O lienRef-coRef-B,
train-00203,très bien on accepte le la réservation,O O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I,
train-00204,oui,reponse-B,
train-00205,oui,reponse-B,
train-00206,j' aimerais faire une réservation euh entre le cinq et le douze août deux nuits le cinq et le sept à Chartres deux nuits le sept et le neuf à Vierzon et d trois nuits du neuf au douze à Arles,command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I O temps-date-B temps-date-I temps-date-I temps-date-B temps-date-I temps-date-I temps-date-I sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I connectProp-B sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I localisation-ville-B localisation-ville-I,
train-00207,non j' aimerais avoir des informations de suite pour les deux nuits le cinq et le sept à Chartres août,reponse-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I temps-mois-B,
train-00208,obtenir des informations supplémentaires nous désirons euh deux chambres individuelles deux étoiles avec les chambres voisines,command-tache-B command-tache-I command-tache-I command-tache-I O O O nombre-chambre-B chambre-type-B chambre-type-I hotel-etoile-B hotel-etoile-I chambre-voisine-B chambre-voisine-I chambre-voisine-I chambre-voisine-I,
train-00209,oui le Best hôtel,reponse-B nom-hotel-B nom-hotel-I nom-hotel-I,
train-00210,il s' agit bien des chambres voisines,O O O O objet-B objet-I objet-I,
train-00211,oui,reponse-B,
train-00212,oui j' aimerais encore faire une réservation à Vierzon du sept au neuf août deux nuits,reponse-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I localisation-ville-B localisation-ville-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I sejour-nbNuit-B sejour-nbNuit-I,
train-00213,je souhaite deux chambres individuelles des chambres voisines deux étoiles,O O nombre-chambre-B chambre-type-B chambre-type-I chambre-voisine-B chambre-voisine-I chambre-voisine-I hotel-etoile-B hotel-etoile-I,
train-00214,il s' agit bien des chambres voisines,O O O O objet-B objet-I objet-I,
train-00215,oui j' aimerais faire une réservation pour euh trois nuits à Arles du neuf au douze août deux chambres individuelles deux étoiles chambres voisines,reponse-B command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I sejour-nbNuit-B sejour-nbNuit-I sejour-nbNuit-I sejour-nbNuit-I localisation-ville-B localisation-ville-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I nombre-chambre-B chambre-type-B chambre-type-I hotel-etoile-B hotel-etoile-I chambre-voisine-B chambre-voisine-I,
train-00216,hôtel Mercure s' agit-il bien des chambres voisines,hotel-marque-B hotel-marque-I O O O objet-B objet-I objet-I,
train-00217,oui,reponse-B,
train-00218,non,reponse-B,
train-00219,au revoir,O O,
train-00220,non,reponse-B,
train-00221,alors réserver une chambre d' hôtel,O command-tache-B nombre-chambre-B nombre-chambre-I nombre-chambre-I nombre-chambre-I,
train-00222,hum Paris,O localisation-ville-B,
train-00223,première semaine d' août,temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I,
train-00224,l' ouest,localisation-cardinal-B localisation-cardinal-I,
train-00225,euh réserver euh dans un hôtel,O command-tache-B O objetBD-B objetBD-I objetBD-I,
train-00226,une chambre,nombre-chambre-B nombre-chambre-I,
train-00227,deux,nombre-B,
train-00228,Ibis,hotel-marque-B,
train-00229,oui,reponse-B,
train-00230,euh Passy,O localisation-ville-B,
train-00231,Passy,localisation-ville-B,
train-00232,euh non,O reponse-B,
train-00233,oui,reponse-B,
train-00234,euh celui de Versailles,O lienRef-elsEns-B localisation-ville-B localisation-ville-I,
train-00235,oui,reponse-B,
train-00236,non,reponse-B,
train-00237,au revoir,O O,
train-00238,oui,reponse-B,
train-00239,je souhaite réserver à Paris place Gambetta les trois premiers jours d' octobre une chambre simple à moins de cinquante euros,command-tache-B command-tache-I command-tache-I localisation-ville-B localisation-ville-I localisation-rue-B localisation-rue-I nombre-temps-B nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I nombre-chambre-B chambre-type-B chambre-type-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-monnaie-B,
train-00240,non Gambetta,reponse-B nom-B,
train-00241,non c' est place Gambetta,reponse-B O O localisation-rue-B localisation-rue-I,
train-00242,oui c' est ça,reponse-B O O O,
train-00243,euh il me faut une chambre simple à moins de cinquante euros,O O O O nombre-chambre-B chambre-type-B chambre-type-I comparatif-paiement-B comparatif-paiement-I comparatif-paiement-I paiement-montant-entier-B paiement-monnaie-B,
train-00244,oui alors je suis désolée hein je ne vais pas pouvoir euh je ne je ne fais pas de réservation dans ce cas,reponse-B O O O O O O O O O O command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O O,
train-00245,non et je vous remercie,reponse-B O O O O,
train-00246,au revoir,O O,
train-00247,oui,reponse-B,
train-00248,je voudrais euh réserver une chambre pour les trois premiers jours de septembre euh une chambre euh à cinquante euros,command-tache-B command-tache-I command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I nombre-temps-B nombre-temps-I nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I O nombre-chambre-B nombre-chambre-I O O paiement-montant-entier-B paiement-monnaie-B,
train-00249,en campagne,localisation-lieuRelatif-B localisation-lieuRelatif-I,
train-00250,entre Lyon et Montluçon à la campagne,localisation-ville-B localisation-ville-I localisation-ville-B localisation-ville-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I,
train-00251,les trois premiers jours de septembre premier septembre deux et trois septembre,nombre-temps-B nombre-temps-I temps-axeTps-B temps-unite-B temps-mois-B temps-mois-I temps-date-B temps-date-I temps-date-B temps-date-B temps-date-I temps-date-I,
train-00252,combien coûte la chambre,objet-B objet-I lienRef-coRef-B objet-B,
train-00253,n' importe quoi,O O O,
train-00254,une chambre euh je voudrais deux chambres pour deux couples et un enfant,nombre-chambre-B nombre-chambre-I O O O nombre-chambre-B nombre-chambre-I sejour-nbCouple-B sejour-nbCouple-I sejour-nbCouple-I sejour-nbEnfant-B sejour-nbEnfant-I sejour-nbEnfant-I,
train-00255,euh oui oui je la réserve,O reponse-B reponse-I O lienRef-coRef-B command-tache-B,
train-00256,je veux réserver à la campagne un bel endroit avec un pré et des vaches,command-tache-B command-tache-I command-tache-I localisation-lieuRelatif-B localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I localisation-lieuRelatif-I,
train-00257,euh non non non enfin oui oui oui oui je veux je veux réserver dans cet hôtel s' il vous plaît,O reponse-B reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I reponse-I command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I O lienRef-coRef-B objetBD-B O O O O,
train-00258,deux chambres,nombre-chambre-B nombre-chambre-I,
train-00259,oui s' il vous plaît ça sera vachement bien j' en ai vraiment vraiment envie et c' est important,reponse-B O O O O O O O O O O O O O O O O O O,
train-00260,euh je vous remercie bien,O O O O O,
train-00261,à tout à l' heure,O O O O O,
train-00262,euh je sais pas,O reponse-B reponse-I reponse-I,
train-00263,ah d'accord ah ouais non non non je veux pas d' autres informations je vous remercie à tout à l' heure,reponse-B reponse-I reponse-B reponse-I reponse-I reponse-I reponse-I command-tache-B command-tache-I command-tache-I command-tache-I command-tache-I command-tache-I O O O O O O O O,
train-00264,d'accord,reponse-B,
train-00265,oui,reponse-B,
train-00266,hum,O,
train-00267,je voudrais réserver euh dans trois villes différentes deux nuits du cinq au sept août à Chartres deux nuits du sept au neuf août à Vierzon et trois nuits du neuf au douze août à Arles,command-tache-B command-tache-I command-tache-I O nombre-hotel-B nombre-hotel-I nombre-hotel-I nombre-hotel-I sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I connectProp-B sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I localisation-ville-B localisation-ville-I,
train-00268,je voudrais dans s euh une chambre au maximum quatre vingt dix euros deux étoiles si possible chambres individuelles voisines je voudrais réserver deux chambres,O O O O O nombre-chambre-B nombre-chambre-I comparatif-paiement-B comparatif-paiement-I paiement-montant-entier-B paiement-montant-entier-I paiement-montant-entier-I paiement-monnaie-B hotel-etoile-B hotel-etoile-I O O chambre-type-B chambre-type-I chambre-voisine-B command-tache-B command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I,
train-00269,je veux réserver dans l' hôtel Chartres,command-tache-B command-tache-I command-tache-I nom-hotel-B nom-hotel-I nom-hotel-I nom-hotel-I,
train-00270,les chambres sont- elles voisines,lienRef-coRef-B objet-B O lienRef-coRef-B objet-B,
train-00271,je réserve donc une chambre dans cet hôtel,command-tache-B command-tache-I command-tache-I nombre-chambre-B nombre-chambre-I O lienRef-coRef-B objetBD-B,
train-00272,je comprends pas moi,reponse-B reponse-I reponse-I reponse-I,
train-00273,à cette vous vous bégayez ou euh,O O O O O O O,
train-00274,ouais euh ouais je voudrais réserver à Vierzon ah deux nuits du sept au neuf août,reponse-B reponse-I reponse-I command-tache-B command-tache-I command-tache-I localisation-ville-B localisation-ville-I O sejour-nbNuit-B sejour-nbNuit-I temps-date-B temps-date-I temps-date-B temps-date-I temps-date-I,
